Geo Point;Geo Shape;Nom de l'équipement;Nombre d'équipement;Commune;Adresse;Code INSEE;Code Postal
47.3391800013, 0.7174200006;"{""coordinates"": [0.7174200006, 47.3391800013], ""type"": ""Point""}";Zone Sportive des Mesliers;3;Chambray-lès-Tours;Chemin des Mesliers;37050;37170
47.4923500008, 0.6983300011;"{""coordinates"": [0.6983300011, 47.4923500008], ""type"": ""Point""}";Les Charmes;1;Chanceaux-sur-Choisille;Rue Emile Verharen Langennerie;37054;37390
47.3061799994, 0.5372999993;"{""coordinates"": [0.5372999993, 47.3061799994], ""type"": ""Point""}";Foot - Tennis -Petanque;7;Druye;Les petits fouchers;37099;37190
47.4016399996, 0.6013300001;"{""coordinates"": [0.6013300001, 47.4016399996], ""type"": ""Point""}";Complexe Sportif du Moulin A Vent;14;Fondettes;Avenue du Moulin à Vent;37109;37230
47.4404999995, 0.641219999;"{""coordinates"": [0.641219999, 47.4404999995], ""type"": ""Point""}";Plan d'Eau de la Membrolle;4;Membrolle-sur-Choisille;Route de Mettray;37151;37390
47.4580590007, 0.7056720008;"{""coordinates"": [0.7056720008, 47.4580590007], ""type"": ""Point""}";Stade George Romien;3;Notre-Dame-d'Oé;Rue des Beveniéres;37172;37390
47.45935, 0.7078100011;"{""coordinates"": [0.7078100011, 47.45935], ""type"": ""Point""}";Terrains de Petanque;8;Notre-Dame-d'Oé;Rue de la mairie;37172;37390
47.3650040009, 0.5063989991;"{""coordinates"": [0.5063989991, 47.3650040009], ""type"": ""Point""}";Terrain de Loisir de l'Ile Buda;2;Saint-Étienne-de-Chigny;Quais de la Loire;37217;37230
47.3617680876, 0.7035419714;"{""coordinates"": [0.7035419714, 47.3617680876], ""type"": ""Point""}";Boulodrome (Amicale Bouliste);1;Tours;Rue Montjoyeux;37261;37000
47.3716962238, 0.7062003938;"{""coordinates"": [0.7062003938, 47.3716962238], ""type"": ""Point""}";Stade Municipal de l'Ile Aucard;7;Tours;5 Ile Aucard;37261;37000
